gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_01989	168.71756035544212	-0.004569723410693396	0.0015574350237141598	-2.9341342278251537	0.0033447952578950545	0.004646044901440759
CNAG_00793	973.9362689429424	-0.004565905546773502	0.0010811982760380013	-4.223004834511059	2.410666468964274e-5	3.922695846323299e-5
CNAG_04505	478.50555896938533	-0.004565679724975553	0.0013972477226393545	-3.267623665437891	0.0010845447324865415	0.0015649455448931413
CNAG_01420	202.3030505687792	-0.004561205465810787	0.0010031857653113754	-4.546720680785428	5.44882339769224e-6	9.223602479055716e-6
CNAG_03181	40.814117397409085	-0.004561129083601588	0.0021204854660586483	-2.150983421772454	0.03147750822935055	0.03971225446201488
CNAG_04306	493.54601910832054	-0.004560499314390738	0.001522066656109365	-2.996254662097435	0.0027331807291537612	0.003824757148594488
CNAG_01196	200.05806266871764	-0.004547030770203677	0.001533664968008457	-2.964813609916533	0.0030286636895994626	0.004226013306626101
CNAG_03597	116.2791961098482	-0.004539249540211462	0.0017026851254062527	-2.665935981045479	0.007677431135382313	0.010306646639285065
CNAG_01825	219.90472150283986	-0.00450385691623259	0.0013684771780010981	-3.2911450688649895	9.978044280926034e-4	0.0014428606027943052
CNAG_06344	166.73818585694713	-0.004501269577442646	0.002039540095957346	-2.207002248381776	0.027313902263435493	0.034790260300151456
CNAG_01399	375.0531830842612	-0.004499777417591418	0.0010104927458931278	-4.453052667502598	8.465797801241294e-6	1.4150095830829693e-5
CNAG_07879	340.75873406316987	-0.004498416626242145	0.0011538757560234656	-3.898527725155414	9.677932130493341e-5	1.516112266610742e-4
CNAG_03123	223.2992181904168	-0.004495875774184656	0.0011400020869436229	-3.94374345948631	8.021947222757836e-5	1.26253768106954e-4
CNAG_00018	481.74694835728474	-0.004492753026739676	0.0012711943961780938	-3.534276929041971	4.088924212005082e-4	6.108558449641507e-4
CNAG_05611	259.53132478937664	-0.004483517580731158	0.001100448051202805	-4.074265546502273	4.61597886874703e-5	7.378150962896859e-5
CNAG_05103	491.2539001554194	-0.004482317548873749	0.001918305109627935	-2.3366030389936863	0.019459834303349553	0.02516537440681634
CNAG_03522	132.9896859299359	-0.004478395344744435	0.0014329903296579714	-3.125209746400275	0.0017767831981478058	0.002527163152967848
CNAG_01064	191.0411716930004	-0.004466204921375993	0.001076754469831354	-4.1478396853792585	3.3562727755110543e-5	5.408083257706072e-5
CNAG_05569	325.8886265308956	-0.004463775923969623	0.0016122205926177471	-2.7687128823493268	0.005627820606728111	0.007669251606268358
CNAG_03689	752.4807738881076	-0.0044563708061719975	0.0015683005591471814	-2.8415285451376144	0.004489783238120142	0.006178131663437235
CNAG_07476	659.4173326728371	-0.004453673749520563	0.0014512215521059878	-3.068913732060737	0.002148386194688784	0.0030359191715255457
CNAG_03249	1826.8303711833712	-0.004449506767718614	0.0011506748944905905	-3.866866991730477	1.1024251459641545e-4	1.71985440110525e-4
CNAG_00187	370.895499822552	-0.004441380095266044	0.0012205795947306344	-3.6387468006510444	2.7396799590176916e-4	4.1449059203538886e-4
CNAG_05224	159.44195098607247	-0.004436827790219689	0.00162579946451987	-2.7290129484265577	0.006352420957320898	0.008609871834381649
CNAG_04992	205.3860984782474	-0.004433231039664348	0.0016537813626918958	-2.680663320844469	0.007347639984581398	0.009875671858497763
CNAG_01191	170.33046811416426	-0.004431011739926405	0.0011518190113706651	-3.846968747853449	1.1958821680492993e-4	1.8613615709734438e-4
CNAG_04848	426.15277677562665	-0.004418806783030054	0.001056746024410176	-4.181522031744965	2.8956418642584868e-5	4.688182065942312e-5
CNAG_06164	474.1983889586393	-0.0044187547173586235	0.001208956383589904	-3.655015827980053	2.5716611156379013e-4	3.8969449290942974e-4
CNAG_06569	440.48634772027697	-0.004409844071411107	0.001234481153327648	-3.572224703085989	3.539614957709385e-4	5.320825328562919e-4
CNAG_01163	192.4161138215751	-0.004408653530789954	0.0016894700850625527	-2.6094889573772613	0.0090677572613689	0.012065377705097734
CNAG_04906	563.5740548791138	-0.004399671278058824	9.802251729391785e-4	-4.488429189046971	7.175026524398486e-6	1.2040235482162735e-5
CNAG_05266	61.795204527448945	-0.004392804098752019	0.0017618626296058515	-2.4932727585775165	0.0126571573750755	0.016648197278336087
CNAG_04801	423.8431939098234	-0.004379075872949877	0.0012275328185430228	-3.567379875144575	3.6056858337355825e-4	5.414130126732124e-4
CNAG_05120	500.3106282594829	-0.004345275702265031	8.238587399881849e-4	-5.274297026122885	1.3326591950880488e-7	2.4915092881916933e-7
CNAG_00688	254.97010703815766	-0.004337869784271746	0.0013563029745625322	-3.198304409581422	0.0013823827197052103	0.0019782575045527604
CNAG_04781	295.3544365001818	-0.004325625296937569	9.87723338903205e-4	-4.379389578604937	1.1901220673651832e-5	1.972168970804024e-5
CNAG_01361	4390.872297798803	-0.00431392594352132	9.133501463722311e-4	-4.723189633960163	2.3217417045572204e-6	4.026891661890324e-6
CNAG_03683	209.5319142275425	-0.004312897465950667	0.0015831286933843647	-2.7242873456678276	0.006444041409347235	0.008723566261633332
CNAG_05786	194.96270564149654	-0.004294298382356887	0.0019659763032951125	-2.1843083129533887	0.028939600337281303	0.036708911863900504
CNAG_00968	172.8341671439064	-0.004284425912511598	0.0013605568368593912	-3.1490238382113094	0.0016381683172487318	0.0023354080982943364
CNAG_05778	218.45038900933974	-0.00428435996283	0.0013066901012266654	-3.278788106535761	0.0010425388438360414	0.0015062604777695188
CNAG_02774	571.4970851080775	-0.004282940093241751	0.0013216691396522003	-3.240553906228615	0.0011929771359307359	0.0017166489369858271
CNAG_03665	354.6667218415113	-0.004278914718738263	9.865623856104228e-4	-4.337196290015395	1.443117381433724e-5	2.3849858824573952e-5
CNAG_02293	377.2422506777129	-0.004276633550742577	9.834129020471825e-4	-4.348766974522967	1.3690508531508022e-5	2.264238101300007e-5
CNAG_06887	235.30519441398565	-0.004274644125874953	0.0013869470246481506	-3.0820529190430843	0.002055782868153878	0.0029105308403283405
CNAG_00326	1370.1383073750621	-0.0042709189358299164	0.0010784944521717442	-3.960075016825211	7.492622275318613e-5	1.1814281592823524e-4
CNAG_05484	307.73879488584765	-0.004264960611334217	0.0010939453831871255	-3.898696111234167	9.671205658156135e-5	1.5154093905299772e-4
CNAG_00937	132.32483234991616	-0.0042529547433329505	0.001557356684686016	-2.7308803340645134	0.006316540243561039	0.008564671600788375
CNAG_01313	465.72983606192076	-0.004243894746826145	0.0012617740040168426	-3.363434920449903	7.697898377565572e-4	0.001125410121491112
CNAG_05281	128.15394333280813	-0.004219093177657677	0.0011978979252747258	-3.5220807120857733	4.2817376143257634e-4	6.385328785216689e-4
