gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted
CNAG_05177	205.66537025026622	-0.6697033402830757	0.18992594705149188	-3.5261287395424104	4.216819319821291e-4	0.0046146581700273704
CNAG_05908	62.113223989019865	-0.6650705498329574	0.23963198981328945	-2.7753829960313343	0.005513673465085701	0.03471154651718451
CNAG_05572	314.3548052043438	-0.6621545547863189	0.21814428536418437	-3.0353972082324994	0.0024021909163096295	0.018235257338526115
CNAG_04386	137.54446199545214	-0.6621500579252104	0.1887629822343691	-3.5078385077805216	4.517631990397281e-4	0.0048117042614703115
CNAG_02666	56.20990602811699	-0.6619853070166047	0.1989117700488668	-3.328034871209353	8.746091809592539e-4	0.00824005923757717
CNAG_06718	32.47508090450083	-0.6589930835992226	0.18786179264532712	-3.5078611479204067	4.517247557888317e-4	0.0048117042614703115
CNAG_00539	2515.2206323643222	-0.658495146938513	0.19306764364794052	-3.410696554308608	6.479716155375945e-4	0.006426588175185454
CNAG_05872	288.620733411541	-0.6579374565636754	0.1319672915396762	-4.985610062065003	6.176660561318499e-7	1.4528020361934553e-5
CNAG_04186	101.60612376910875	-0.6571628872680015	0.218627929391829	-3.005850574974902	0.002648391077720963	0.019714506769760224
CNAG_00919	485.68516987653254	-0.6541383927937918	0.1110027759161503	-5.892991300397004	3.792663820923152e-9	1.388729985023429e-7
CNAG_03223	6671.49702541722	-0.6531594583929767	0.11109208155148198	-5.8794420742786375	4.116516213657855e-9	1.491191488305792e-7
CNAG_02577	2545.139559692271	-0.652433993760262	0.17681882223120168	-3.689844698248039	2.2439099574481227e-4	0.00268081940948035
CNAG_04981	460.981369537349	-0.6492394965521547	0.17076244297885812	-3.802004031018321	1.4353039144984615e-4	0.0018379487177339466
CNAG_05803	371.2281865620739	-0.6484752569165915	0.12706379979203591	-5.103540567635665	3.333570103723736e-7	8.425971597994249e-6
CNAG_02678	68.38649497020316	-0.6478025367581538	0.14412715537174836	-4.494659837608474	6.9681246606873015e-6	1.29676034207406e-4
CNAG_02882	221.84637328498923	-0.646672636505745	0.1288070645705772	-5.020474914645804	5.154388246279226e-7	1.2337747696217481e-5
CNAG_01081	106.02023791243244	-0.643114188156851	0.15249727331592128	-4.2172176208327485	2.4733525310907277e-5	4.056777250752685e-4
CNAG_02828	415.2531039907852	-0.6414351799925926	0.1549656349598763	-4.139209187628424	3.4850506600161255e-5	5.427065096769939e-4
CNAG_04695	44.69715629682228	-0.6399386875974075	0.16630632345615898	-3.847951625039114	1.1910956485612527e-4	0.001594561644931606
CNAG_05351	1211.4949788465292	-0.6382606485297554	0.15266117119051117	-4.180897104039951	2.9036124529005903e-5	4.628016648458494e-4
CNAG_02053	28.287616680097276	-0.6372559694737883	0.22133913687134588	-2.879093044643955	0.003988206500411509	0.027179185949484472
CNAG_01369	101.24951331091087	-0.636438552525173	0.2284461551848949	-2.785945563452648	0.005337183383714695	0.033820467952556915
CNAG_01796	1448.5880366236029	-0.6349169903490501	0.15627165240712995	-4.0629057194258085	4.846560835668088e-5	7.311938329803035e-4
CNAG_06712	745.9247817908398	-0.6347561875319321	0.09413770001968892	-6.74284784309764	1.553118363650909e-11	7.62378535896468e-10
CNAG_06892	437.1856956760816	-0.6301495374060088	0.19388727696681024	-3.250081940724136	0.0011537176057204363	0.010205268978435164
CNAG_03561	191.47561506151553	-0.6300865864561047	0.13135561386119016	-4.7967998316535425	1.6122056352500916e-6	3.504052865002224e-5
CNAG_01772	200.4562489700684	-0.6294820235188636	0.159011500722851	-3.958720096705577	7.535248225586066e-5	0.0010768728160362871
CNAG_06832	54.03459825597529	-0.6290978941390724	0.20127849920044164	-3.125509662671869	0.0017749723861181074	0.014416862042642758
CNAG_04623	138.5618870106944	-0.6290951961454925	0.1613469954073112	-3.899020211423075	9.658271339918768e-5	0.0013352067358491783
CNAG_00130	702.7664159736537	-0.6287092126929646	0.13390156574724127	-4.695308894891826	2.662041426227723e-6	5.481054292178296e-5
CNAG_07851	380.5439526242181	-0.6283302273487837	0.16966441010258887	-3.703370830505108	2.1275353201807008e-4	0.0025781617636679906
CNAG_05963	254.15972510905635	-0.6265567783531902	0.13005805776831889	-4.8175160317196015	1.4535641536013168e-6	3.186551319254149e-5
CNAG_06509	93.01729685596625	-0.6251564314073284	0.12940258088892964	-4.831097085644065	1.3578276925313658e-6	3.0058577742508076e-5
CNAG_00332	588.7119935718227	-0.6206556917300724	0.1095177254848227	-5.667171126705738	1.4517433620452086e-8	4.7053155667436565e-7
CNAG_00691	406.1303668887782	-0.6198588485767196	0.111007548779537	-5.5839342044005535	2.3513769314577353e-8	7.340196927969907e-7
CNAG_07573	160.72287039644627	-0.6172783437985825	0.14887619950382835	-4.146252697582525	3.37960831519933e-5	5.299413594250061e-4
CNAG_02179	297.0649736555507	-0.6167926123308992	0.11304976381142806	-5.455938973563326	4.871472307043572e-8	1.4223859227548773e-6
CNAG_02000	186.01881066521392	-0.6157085497521134	0.21504032889933386	-2.863223623696851	0.0041935448058497	0.028210967284901627
CNAG_03463	424.39386417124325	-0.611426520303108	0.12372365501772585	-4.941872435109592	7.737583820086214e-7	1.7888871261864852e-5
CNAG_01137	2330.2397712785264	-0.6100999050132269	0.22483839627287483	-2.713504077269702	0.006657574895105147	0.03983958687229882
CNAG_06923	1905.1662734048798	-0.6097594044014921	0.21101841139556823	-2.8896028567784877	0.003857287950689232	0.026500272391449146
CNAG_02667	153.5283821428747	-0.6080377288703281	0.2032154480988682	-2.9920841872932127	0.0027707984153732316	0.02042370888546058
CNAG_02168	257.1233429786272	-0.6049989787742819	0.18491404181421028	-3.2717849485013466	0.0010687083299754777	0.009652573636338514
CNAG_06310	216.5534496757466	-0.6033893826380342	0.15509056894483908	-3.890561410298528	1.000125612144261e-4	0.0013770022147693544
CNAG_05080	756.7101403013797	-0.6006183027778988	0.10035414496875152	-5.9849874956826215	2.1640648617460643e-9	8.18959518070829e-8
CNAG_00879	1083.9467187775294	-0.6005965423543418	0.15759637615302083	-3.8109793956885314	1.384173051886527e-4	0.001792808461468324
CNAG_03829	241.78771951707472	-0.6004682107951125	0.10512392639248029	-5.712003265110778	1.1165394554643592e-8	3.689482083568571e-7
CNAG_03841	859.4956346508602	-0.599473217483355	0.13148192018855107	-4.559358553812442	5.131010218067798e-6	9.902411172988964e-5
CNAG_07824	99.49677428642322	-0.597621257551526	0.14485951178931006	-4.125523068314162	3.698931021570736e-5	5.695083113343703e-4
CNAG_03987	642.5225982410923	-0.5964656247629591	0.10282458848864041	-5.800807312045347	6.599640310275798e-9	2.2926135108619617e-7
CNAG_00261	2088.07103645019	-0.5952880453839475	0.056892593202843234	-10.463366351776662	1.2725259345117925e-25	2.2102796616366363e-23
CNAG_01803	2498.220228549096	-0.5951181635163855	0.1876861847553429	-3.1708149659078417	0.0015201193780640192	0.012697026716406493
CNAG_03308	43.24228668274373	-0.5926509400728227	0.20489880953233428	-2.8924079228449533	0.003823012226690031	0.02637177680610822
CNAG_03873	1181.2849826616698	-0.5923527786564301	0.1751141514658221	-3.3826665275081584	7.178574117031335e-4	0.007016978509202058
CNAG_02455	398.8737623381545	-0.5906052224819672	0.1819091015127473	-3.24670518171176	0.0011674925936348058	0.010270902375691135
