Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
RS_240	CNAG_00262	CNAG_00262	231.7	0.14958	0.17907	0.62563
RS_240	CNAG_00263	PTP4	285.95	0.34888	0.1302	0.048498
RS_240	CNAG_00264	CNAG_00264	1228.9	1.1052	0.13207	7.2015e-15
RS_240	CNAG_00265	IDI1	1116.2	-0.41014	0.15172	0.045892
RS_240	CNAG_00266	YFH7	135.89	-0.2135	0.15035	0.35275
RS_240	CNAG_00267	CNAG_00267	83.13	-0.1924	0.1651	0.46686
RS_240	CNAG_00268	ILV2	1581.5	-0.0042243	0.17425	0.98868
RS_240	CNAG_00269	CNAG_00269	21.626	-1.5442	0.43793	0.005326
RS_240	CNAG_00270	CNAG_00270	1509.3	-0.17998	0.12376	0.34002
RS_240	CNAG_00271	CNAG_00271	208.59	0.15496	0.1227	0.42224
RS_240	CNAG_00272	CNAG_00272	254.56	0.45799	0.1458	0.015982
RS_240	CNAG_00273	CNAG_00273	71.957	-0.18592	0.21039	0.60247
RS_240	CNAG_00274	CNAG_00274	109.09	0.43775	0.14631	0.023563
RS_240	CNAG_00275	CNAG_00275	45.344	1.1888	0.21953	2.1719e-6
RS_240	CNAG_00276	CNAG_00276	163.31	-0.38723	0.21201	0.21136
RS_240	CNAG_00277	CNAG_00277	169.81	0.19174	0.13137	0.33792
RS_240	CNAG_00278	CNAG_00278	273.83	-0.098294	0.16013	0.73259
RS_240	CNAG_00279	CNAG_00279	216.39	-0.13528	0.1916	0.6865
RS_240	CNAG_00280	CNAG_00280	709.95	-0.090655	0.13026	0.69103
RS_240	CNAG_00283	CNAG_00283	169.76	0.28828	0.16205	0.22523
RS_240	CNAG_00284	CNAG_00284	316.6	-0.26574	0.14808	0.22125
RS_240	CNAG_00285	CNAG_00285	169.96	-0.16004	0.26107	0.73292
RS_240	CNAG_00286	NAB2	555.9	0.060011	0.11791	0.78448
RS_240	CNAG_00287	CNAG_00287	1487.1	-0.093947	0.18413	0.78406
RS_240	CNAG_00288	CNAG_00288	208.22	-0.27336	0.15467	0.2286
RS_240	CNAG_00289	CNAG_00289	201.84	-0.080341	0.19986	0.83663
RS_240	CNAG_00290	CNAG_00290	329.78	0.30735	0.1728	0.22525
RS_240	CNAG_00291	CNAG_00291	30.141	0.27984	0.3168	0.60265
RS_240	CNAG_00292	CNAG_00292	2250.5	-0.16679	0.099141	0.25491
RS_240	CNAG_00293	RAS1	579.72	-0.027152	0.1232	0.91734
RS_240	CNAG_00294	CNAG_00294	322.42	0.2876	0.11874	0.08085
RS_240	CNAG_00295	CNAG_00295	4.061	-0.78211	0.82354	0.56693
RS_240	CNAG_00299	CNAG_00299	217.52	0.49526	0.1732	0.031744
RS_240	CNAG_00300	CNAG_00300	294.71	0.037421	0.13971	0.8976
RS_240	CNAG_00301	CNAG_00301	637.62	-0.42741	0.18518	0.099435
RS_240	CNAG_00302	CNAG_00302	49.056	2.7357	0.48118	5.2073e-7
RS_240	CNAG_00303	CNAG_00303	20.692	1.1609	0.36708	0.01533
RS_240	CNAG_00304	CNAG_00304	208.81	-0.2064	0.15242	0.38052
RS_240	CNAG_00305	CNAG_00305	2382.3	-0.15293	0.15261	0.54148
RS_240	CNAG_00306	MTN2	39.33	-0.20799	0.45019	0.80828
RS_240	CNAG_00307	CNAG_00307	1339.6	-0.11734	0.13145	0.59818
RS_240	CNAG_00308	CNAG_00308	82.092	0.10776	0.18823	0.75307
RS_240	CNAG_00309	CNAG_00309	196.1	-0.027275	0.13305	0.92469
RS_240	CNAG_00310	CNAG_00310	164.12	0.025886	0.16528	0.94399
