Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
Y_0	CNAG_00289	CNAG_00289	201.84	-0.42984	0.21605	0.2075
Y_0	CNAG_00290	CNAG_00290	329.78	-0.11062	0.17812	0.77185
Y_0	CNAG_00291	CNAG_00291	30.141	0.86642	0.40486	0.16499
Y_0	CNAG_00292	CNAG_00292	2250.5	0.0089795	0.10892	0.97663
Y_0	CNAG_00293	RAS1	579.72	-0.026562	0.13472	0.9394
Y_0	CNAG_00294	CNAG_00294	322.42	0.0063689	0.13265	0.98598
Y_0	CNAG_00295	CNAG_00295	4.061	1.4118	1.0453	0.44224
Y_0	CNAG_00299	CNAG_00299	217.52	0.0049155	0.20076	0.99158
Y_0	CNAG_00300	CNAG_00300	294.71	-0.25792	0.14997	0.29729
Y_0	CNAG_00301	CNAG_00301	637.62	0.11676	0.18407	0.76758
Y_0	CNAG_00302	CNAG_00302	49.056	1.8299	0.62532	0.038507
Y_0	CNAG_00303	CNAG_00303	20.692	0.070963	0.31289	0.92828
Y_0	CNAG_00304	CNAG_00304	208.81	-0.4576	0.1645	0.052166
Y_0	CNAG_00305	CNAG_00305	2382.3	0.22728	0.1645	0.42843
Y_0	CNAG_00306	MTN2	39.33	0.017903	0.40121	0.98651
Y_0	CNAG_00307	CNAG_00307	1339.6	-0.14645	0.13356	0.55592
Y_0	CNAG_00308	CNAG_00308	82.092	-0.40402	0.20729	0.21823
Y_0	CNAG_00309	CNAG_00309	196.1	0.022856	0.13451	0.94917
Y_0	CNAG_00310	CNAG_00310	164.12	-0.29736	0.17374	0.30103
Y_0	CNAG_00311	CNAG_00311	547.85	0.15301	0.13805	0.55033
Y_0	CNAG_00312	CNAG_00312	138.61	-0.33313	0.16871	0.21129
Y_0	CNAG_00313	CNAG_00313	130.68	0.085888	0.13672	0.7692
Y_0	CNAG_00314	CNAG_00314	101.77	-0.21739	0.13646	0.34454
Y_0	CNAG_00315	CNAG_00315	400.33	-0.86667	0.29648	0.038717
Y_0	CNAG_00316	HAM1	223.59	0.093089	0.14744	0.76805
Y_0	CNAG_00317	CNAG_00317	508.92	0.12121	0.19283	0.7692
Y_0	CNAG_00318	CNAG_00318	618.47	-0.18677	0.19762	0.62415
Y_0	CNAG_00319	CNAG_00319	428.61	0.18248	0.15367	0.50907
Y_0	CNAG_00320	CNAG_00320	142.72	-0.024598	0.18341	0.95739
Y_0	CNAG_00321	CNAG_00321	58.231	-0.19067	0.79684	0.92222
Y_0	CNAG_00322	CNAG_00322	213.64	-0.12954	0.21336	0.7778
Y_0	CNAG_00323	CNAG_00323	2.1248	-0.69236	1.2752	0.80186
Y_0	CNAG_00326	CNAG_00326	1034	0.26833	0.12114	0.14792
Y_0	CNAG_00327	CNAG_00327	55.367	-0.4982	0.23129	0.16251
Y_0	CNAG_00328	CNAG_00328	260.13	0.67261	0.22244	0.031889
Y_0	CNAG_00329	CNAG_00329	584.88	0.24141	0.21179	0.53314
Y_0	CNAG_00330	CNAG_00330	670.86	0.24364	0.1656	0.3917
Y_0	CNAG_00331	CNAG_00331	135.63	0.2395	0.20888	0.53067
Y_0	CNAG_00332	SIP4	497.04	0.40254	0.17701	0.13355
Y_0	CNAG_00333	CNAG_00333	30.766	0.77627	0.26199	0.035754
Y_0	CNAG_00334	CNAG_00334	18024	0.28224	0.14791	0.23034
Y_0	CNAG_00335	CNAG_00335	330.56	0.23918	0.14157	0.30799
Y_0	CNAG_00337	CNAG_00337	1037.3	-0.15613	0.13067	0.50696
Y_0	CNAG_00342	CNAG_00342	454.06	0.36202	0.13261	0.058197
Y_0	CNAG_00343	CNAG_00343	57.656	0.58427	0.2461	0.11299
Y_0	CNAG_00344	CNAG_00344	79.843	0.3069	0.23812	0.4683
Y_0	CNAG_00345	CNAG_00345	397.71	-0.24819	0.18005	0.42936
Y_0	CNAG_00346	CNAG_00346	128.11	-0.2574	0.18606	0.42743
Y_0	CNAG_00347	CNAG_00347	235.15	0.11858	0.23604	0.81532
Y_0	CNAG_00348	CNAG_00348	606.66	-0.10529	0.15485	0.74571
Y_0	CNAG_00349	CNAG_00349	451.57	0.1573	0.32626	0.82482
Y_0	CNAG_00351	CNAG_00351	224.49	-0.31177	0.16252	0.22682
Y_0	CNAG_00352	CNAG_00352	379.41	-0.14218	0.19009	0.71477
Y_0	CNAG_00353	LPI16	150.13	-0.19435	0.18241	0.5687
Y_0	CNAG_00354	CNAG_00354	1044.5	-0.06818	0.08867	0.70397
Y_0	CNAG_00355	CNAG_00355	1087.9	-0.02584	0.13876	0.94398
Y_0	CNAG_00356	CNAG_00356	301.74	-0.34741	0.18415	0.2367
Y_0	CNAG_00357	CNAG_00357	250.06	0.19072	0.14393	0.45375
Y_0	CNAG_00358	CNAG_00358	295.5	-0.14429	0.1865	0.70101
Y_0	CNAG_00359	CNAG_00359	385.34	0.56687	0.1626	0.010256
Y_0	CNAG_00360	CNAG_00360	778.39	1.0065	0.19179	1.9666e-5
Y_0	CNAG_00361	RVS167	573.7	0.099903	0.17135	0.78608
Y_0	CNAG_00362	CNAG_00362	222.62	0.11408	0.14758	0.70115
Y_0	CNAG_00363	TCO6	744.31	-0.094202	0.14867	0.76758
Y_0	CNAG_00364	CNAG_00364	226.55	-0.13075	0.13966	0.62838
Y_0	CNAG_00365	CNAG_00365	264.61	0.25138	0.14075	0.27145
Y_0	CNAG_00366	CNAG_00366	21.469	-0.36683	0.37031	0.60481
Y_0	CNAG_00367	DYN5	130.29	-0.26242	0.17204	0.37166
Y_0	CNAG_00368	CNAG_00368	124.38	-0.27103	0.15602	0.29068
Y_0	CNAG_00369	CNAG_00369	263.63	-0.24117	0.14641	0.32376
Y_0	CNAG_00370	UBI1	4869.1	0.059606	0.16565	0.87367
Y_0	CNAG_00371	CNAG_00371	56.971	-0.49463	0.15673	0.023194
Y_0	CNAG_00372	CNAG_00372	332.56	0.43108	0.18759	0.12754
Y_0	CNAG_00373	CNAG_00373	81.692	0.40756	0.3105	0.45825
Y_0	CNAG_00374	CNAG_00374	917.29	-0.43115	0.18668	0.12564
Y_0	CNAG_00375	GCN5	319.41	-0.053938	0.12702	0.84579
Y_0	CNAG_00377	CNAG_00377	431.54	0.39024	0.18198	0.16392
Y_0	CNAG_00378	CNAG_00378	308.35	0.24512	0.33483	0.72073
Y_0	CNAG_00383	APT3	327.17	0.050542	0.11984	0.8474
Y_0	CNAG_00384	CNAG_00384	12.38	0.0016691	0.5165	0.99845
Y_0	CNAG_00385	CNAG_00385	598.37	-0.29509	0.16379	0.26498
Y_0	CNAG_00386	CNAG_00386	736.21	0.35906	0.2332	0.36552
Y_0	CNAG_00387	LPI13	268.52	0.47753	0.13213	0.0074601
Y_0	CNAG_00388	CNAG_00388	535.55	0.67199	0.1335	4.7955e-5
Y_0	CNAG_00389	CNAG_00389	223.32	0.25151	0.17134	0.39235
Y_0	CNAG_00390	YMR1	82.559	-0.12597	0.18547	0.74605
Y_0	CNAG_00391	CNAG_00391	255.18	-0.017465	0.31654	0.98596
Y_0	CNAG_00392	CNAG_00392	64.308	0.053135	0.24189	0.93031
Y_0	CNAG_00393	CNAG_00393	759.36	-0.35383	0.47556	0.71635
Y_0	CNAG_00394	CNAG_00394	1652.4	-0.22431	0.19712	0.53417
Y_0	CNAG_00395	CNAG_00395	224.93	0.33152	0.15336	0.16037
Y_0	CNAG_00396	PKA1	308.05	-0.27728	0.12727	0.15629
Y_0	CNAG_00397	CNAG_00397	179.53	-0.076429	0.45003	0.94917
Y_0	CNAG_00398	CNAG_00398	505.25	0.23321	0.16336	0.40713
Y_0	CNAG_00399	CNAG_00399	760.18	-0.029505	0.1563	0.94314
Y_0	CNAG_00400	CNAG_00400	668.1	-0.19618	0.16072	0.49671
Y_0	CNAG_00401	CNAG_00401	212.79	0.10127	0.13486	0.71294
Y_0	CNAG_00402	CNAG_00402	979.42	0.38241000000000003	0.20978	0.25847
