Condition_Time	gene	geneName	baseMean	log2FC	stderror	padj
R_30	CNAG_00183	CNAG_00183	868.26	-0.13012	0.21947	0.7892
R_30	CNAG_00184	CNAG_00184	496.59	0.17852	0.092349	0.24414
R_30	CNAG_00185	CNAG_00185	273.44	0.07018	0.13981	0.82961
R_30	CNAG_00186	CNAG_00186	203.16	0.036434	0.18531	0.94185
R_30	CNAG_00187	UBP16	280.99	-0.20951	0.19504	0.58511
R_30	CNAG_00188	CNAG_00188	276.49	0.06148	0.14722	0.85871
R_30	CNAG_00189	CNAG_00189	114.52	-0.39987	0.21425	0.26746
R_30	CNAG_00190	CNAG_00190	744.79	-0.43211	0.23644	0.28019
R_30	CNAG_00191	CNAG_00191	192.91	-0.0096202	0.13583	0.98352
R_30	CNAG_00192	CNAG_00192	297.3	0.71741	0.19772	0.0094365
R_30	CNAG_00193	GAT1	928.97	-0.16284	0.22972	0.74026
R_30	CNAG_00194	CNAG_00194	1260.2	-0.048165	0.1524	0.89802
R_30	CNAG_00195	CNAG_00195	513.39	0.22648	0.15207	0.40438
R_30	CNAG_00229	CNAG_00229	50.144	0.16561	0.38157	0.85433
R_30	CNAG_00231	CNAG_00231	266.21	-0.059464	0.14814	0.86483
R_30	CNAG_00232	RPL30	5180.2	0.34498	0.14696	0.13592
R_30	CNAG_00233	CNAG_00233	1618.1	-0.017269	0.10004	0.95278
R_30	CNAG_00234	CNAG_00234	157.38	0.0017243	0.14384	0.99881
R_30	CNAG_00235	AMT1	924.53	-0.1099	0.22269	0.83188
R_30	CNAG_00236	CNAG_00236	266.12	0.57122	0.18617	0.035335
R_30	CNAG_00237	CNAG_00237	4521.3	-0.089135	0.14574	0.78107
R_30	CNAG_00238	CNAG_00238	1692.6	-0.22089	0.14921	0.40645
R_30	CNAG_00239	YAP1	458.3	0.15757	0.17635	0.66121
R_30	CNAG_00240	CNAG_00240	338.97	-0.072993	0.15984	0.84531
R_30	CNAG_00241	CNAG_00241	202.68	0.14601	0.1489	0.62525
R_30	CNAG_00242	CNAG_00242	17.568	0.093043	0.39763	0.92881
R_30	CNAG_00243	CNAG_00243	219.04	-0.27573	0.14011	0.23327
R_30	CNAG_00246	CNAG_00246	223.94	-0.21587	0.19885	0.57976
R_30	CNAG_00247	LYS9	131.99	0.96215	0.32004	0.040307
R_30	CNAG_00248	CNAG_00248	101.15	0.017828	0.18549	0.97777
R_30	CNAG_00249	CNAG_00249	176.25	-0.43613	0.17163	0.099788
R_30	CNAG_00250	CNAG_00250	222.58	-0.12291	0.24887	0.83184
R_30	CNAG_00251	CNAG_00251	73.017	0.015675	0.26608	0.98827
R_30	CNAG_00252	CNAG_00252	233.56	-0.014996	0.14091	0.97489
R_30	CNAG_00253	CNAG_00253	88.405	-0.211	0.4342	0.83489
R_30	CNAG_00254	CNAG_00254	527.19	-0.40023	0.19544	0.21059
R_30	CNAG_00255	CNAG_00255	335.33	-0.22686	0.13422	0.32623
R_30	CNAG_00256	CNAG_00256	609.84	-0.13309000000000001	0.15383	0.67402
R_30	CNAG_00257	CNAG_00257	186.03	0.18854	0.19544	0.63092
R_30	CNAG_00258	CNAG_00258	108.95	-0.093123	0.22235	0.85816
R_30	CNAG_00259	CNAG_00259	673.14	0.017627	0.11956	0.96159
R_30	CNAG_00260	CNAG_00260	540.5	-0.19329	0.14893	0.48503
