gene	geneName	baseMean	log2FC	stderror	padj
CNAG_00154	NA	75.879	0.759	0.225	0.001195
CNAG_00155	NA	2.617	-5.101	1.363	3.107e-4
CNAG_00156	SP1	935.701	0.088	0.135	0.5609
CNAG_00157	NA	246.554	0.068	0.164	0.716
CNAG_00158	HOC3	92.717	1.92	0.21	2.152e-19
CNAG_00159	NA	132.819	-0.808	0.228	6.353e-4
CNAG_00160	NA	52.332	0.198	0.267	0.5072
CNAG_00161	NA	157.558	0.062	0.234	0.8211
CNAG_00162	AOX1	9820.883	6.436	0.163	0
CNAG_00163	NA	1418.114	-1.808	0.168	2.5110000000000002e-26
CNAG_00164	NA	132.863	0.055	0.161	0.7676
CNAG_00165	NA	263.023	5.088	0.25	1.8149999999999999e-90
CNAG_00166	NA	283.033	2.051	0.179	1.2799999999999998e-29
CNAG_00167	NA	75.63	-0.129	0.221	0.6053
CNAG_00171	NA	31.671	-1.198	0.286	5.121e-5
CNAG_00172	NA	128.809	-5.798	0.357	3.0010000000000003e-58
CNAG_00173	NA	186.644	-1.191	0.255	5.634e-6
CNAG_00174	NA	218.096	-0.939	0.232	9.424e-5
CNAG_00175	NA	246.554	-1.02	0.23	1.724e-5
CNAG_00176	NA	230.058	0.998	0.158	6.469e-10
CNAG_00177	NA	2.643	-1.882	1.102	0.11
CNAG_00178	NA	303.611	0.04	0.175	0.8454
CNAG_00179	GPA2	22.133	0.224	0.359	0.5783
CNAG_00180	NA	180.905	-1.05	0.203	5.034e-7
CNAG_00181	FYV10	214.646	-2.382	0.178	6.327e-40
CNAG_00182	VPS29	81.093	1.679	0.274	2.337e-9
CNAG_00183	NA	560.07	1.241	0.171	1.075e-12
CNAG_00184	NA	383.225	-0.4	0.141	0.006841
CNAG_00185	NA	234.885	-0.395	0.155	0.01524
CNAG_00186	NA	155.224	-0.009	0.167	0.9621
CNAG_00187	UBP16	316.029	-0.312	0.166	0.0785
CNAG_00188	NA	166.312	1.176	0.192	2.06e-9
CNAG_00189	NA	74.735	1.288	0.273	4.654e-6
CNAG_00190	NA	661.537	-0.56	0.21	0.01112
CNAG_00191	NA	61.405	2.316	0.259	1.735e-18
CNAG_00192	NA	134.826	4.062	0.273	7.332e-49
CNAG_00193	GAT1	572.443	0.648	0.232	0.007705
CNAG_00194	NA	485.895	0.023	0.163	0.9062
CNAG_00195	NA	262.439	0.165	0.197	0.4508
CNAG_00229	NA	38.585	-0.589	0.279	0.04583
CNAG_00231	NA	121.177	0.547	0.189	0.005614
CNAG_00232	RPL30	2532.725	2.32	0.174	1.152e-39
CNAG_00233	NA	877.48	0.723	0.131	7.676e-8
CNAG_00234	NA	86.626	1.403	0.204	1.638e-11
CNAG_00235	AMT1	164.598	-0.588	0.196	0.004108
CNAG_00236	NA	96.322	2.278	0.264	2.045e-17
CNAG_00237	NA	866.932	-0.3	0.152	0.06283
CNAG_00238	NA	698.734	2.118	0.179	2.156e-31
CNAG_00239	YAP1	475.289	-1.395	0.234	6.012e-9
CNAG_00240	NA	235.161	0.125	0.246	0.6557
CNAG_00241	NA	103.094	0.446	0.213	0.04776
CNAG_00242	NA	16.719	-0.798	0.413	0.0687
CNAG_00243	NA	142.96	0.813	0.19	3.608e-5
CNAG_00246	NA	168.808	0.071	0.186	0.7414
CNAG_00247	LYS9	181.652	-2.655	0.232	1.327e-29
CNAG_00248	NA	74.515	-0.057	0.221	0.8248
CNAG_00249	NA	112.078	1.094	0.209	3.672e-7
CNAG_00250	NA	263.248	-2.152	0.224	3.431e-21
CNAG_00251	NA	106.824	-1.517	0.199	8.177e-14
CNAG_00252	NA	165.184	-0.382	0.181	0.04648
CNAG_00253	NA	86.559	-0.864	0.287	0.004011
CNAG_00254	NA	751.372	-1.154	0.125	1.282e-19
CNAG_00255	NA	197.358	1.073	0.215	1.299e-6
CNAG_00256	NA	352.269	1.21	0.208	1.459e-8
CNAG_00257	NA	154.113	0.739	0.243	0.003636
CNAG_00258	NA	75.422	0.675	0.212	0.002213
CNAG_00259	NA	223.462	3.408	0.188	7.566999999999999e-72
CNAG_00260	NA	317.767	0.98	0.139	4.746e-12
CNAG_00261	NA	1812.771	-0.482	0.149	0.001893
