"","x"
"568","CNAG_07674"
"569","CNAG_07712"
"570","CNAG_07731"
"571","CNAG_07747"
"572","CNAG_07784"
"573","CNAG_07791"
"574","CNAG_07807"
"575","CNAG_07837"
"576","CNAG_07840"
"577","CNAG_07847"
"578","CNAG_07851"
"579","CNAG_07864"
"580","CNAG_07869"
"581","CNAG_07878"
"582","CNAG_07889"
"583","CNAG_07893"
"584","CNAG_07896"
"585","CNAG_07938"
"586","CNAG_07941"
"587","CNAG_07944"
"588","CNAG_07947"
"589","CNAG_07961"
"590","CNAG_07964"
"591","CNAG_07970"
"592","CNAG_07979"
"593","CNAG_07985"
"594","CNAG_14002"
