gene	baseMean	estimate	stderror	statistic	p.value	p.adjusted	minus_log10_pvalue
CNAG_06230	254.9852543231756	-0.6480244556822498	0.1519867580367797	-4.263690232312427	2.0107815658516294e-5	1.3173405106344158e-4	4.696635104886977
CNAG_06231	9388.022725618079	0.25653369685031774	0.09825835349870349	2.610808014951143	0.00903285874524849	0.024361346312942893	2.0441747811590076
CNAG_06232	335.150519965998	-0.10702962635867676	0.11965934433513904	-0.8944527228806363	0.3710797142582011	0.4979137447416132	0.43053278649338095
CNAG_06233	8.093480771507046	0.0063849275981513794	0.3250593998857614	0.01964234106257285	0.9843286870563692	0.98829362117515	0.006859857728044154
CNAG_06234	0.20308459561513037	-0.970370558288172	2.129234435302389	-0.4557368330135813	0.6485792320962889	0.7495120990591213	0.18803696181534948
CNAG_06235	323.8802615674562	0.510913557143123	0.0972542483037848	5.25338035154234	1.4933269999204043e-7	1.7814574651607787e-6	6.825845082622491
CNAG_06236	350.5414801677773	0.39491213778125694	0.0973066170162852	4.058430453040667	4.940364156804867e-5	2.918482371757914e-4	4.306241037824925
CNAG_06237	499.1140472944891	0.3593000294523296	0.12306713043183402	2.9195450336054045	0.0035054274207305725	0.01090649083432456	2.455259020451258
CNAG_06238	392.0178111986122	0.12825472414410874	0.18119844006365374	0.707813621900132	0.479061006013511	0.6005130920451054	0.319609177842256
CNAG_06239	73.77370799251318	0.2685596629816418	0.1859969998786118	1.4438924453454267	0.14876923203405257	0.24278509915404559	0.8274868788675237
CNAG_06240	1370.3144909888624	-0.2591480103877595	0.1046352001124314	-2.476680984117226	0.013261037263118074	0.033406948248689255	1.8774225045865942
CNAG_06241	1104.7200515057514	-2.3171564976194117	0.1935481663156718	-11.971988894176308	4.98198665173438e-33	6.877175043332927e-31	32.30259744040567
CNAG_06242	583.9848563213405	-3.8095590942977062	0.23318042099454955	-16.337388353830754	5.34957304233959e-60	1.809225602919249e-57	59.27168087830686
CNAG_06243	141.11439431962808	0.12563085699006965	0.14386932119244447	0.873228954920984	0.3825382955806206	0.5092479888422196	0.41732508148596764
CNAG_06244	897.7404250721946	-0.06751283902616637	0.15168503071175013	-0.4450857062781776	0.6562578180283485	0.7542783145528886	0.18292550978583938
CNAG_06245	8.349526185625308	-0.09245645959757919	0.3233277050296427	-0.28595279080431035	0.7749142798388515	0.8448614101918105	0.11074633601233148
CNAG_06246	1156.981104137051	-0.4300809978946865	0.15518638063392032	-2.7713836493759962	0.005581861688331893	0.016197216842504043	2.253220928997234
CNAG_06247	90.42952688332902	-0.4331987276723337	0.2020707569972956	-2.143797222861551	0.03204913796544345	0.06965950167039188	1.494183647327252
CNAG_06248	1001.4231730631946	0.3574308972424422	0.0906307224381064	3.9438160441293975	8.019518336449695e-5	4.45719162101444e-4	4.095851715269932
CNAG_06249	147.32085910198933	0.11648259715351326	0.11171549117205329	1.042671843729516	0.2971003025908519	0.41997626890794615	0.5270969058756684
CNAG_06250	40.6255320524401	-0.4676462905624892	0.16553962165987507	-2.8249810279458996	0.004728341562999564	0.01405824278335343	2.3252911586987137
CNAG_06251	61.553014541933365	0.14557444589906096	0.1410335449615213	1.0321973112054907	0.30197969439491257	0.42527392314952916	0.5200222587273641
CNAG_06252	236.37630860041372	0.5290751382739737	0.15783813912762154	3.352010744666629	8.022690505851909e-4	0.0031568488548194165	3.095679961405044
CNAG_06253	7.617744841931488	0.0252804662000305	0.3551753910618714	0.07117741497925642	0.9432565560538232	0.9624660348692202	0.025370167576101665
CNAG_06256	0.6941319946274503	-0.8322413818818302	1.2246017582686495	-0.6796016552013275	0.4967567213405489	0.6173181082394769	0.3038562479798718
CNAG_06259	31.601187850868726	0.21499905843307401	0.1925355587641952	1.1166719530307159	0.26413461412723055	0.3832274839031719	0.5781746819456313
CNAG_06260	143.49355258513978	-0.2211189953698697	0.12324386872393098	-1.7941581813305552	0.07278792477459346	0.13641937466759496	1.1379406624278139
CNAG_06263	78.52175857254409	-0.2014064112460125	0.157404928710362	-1.2795432321983822	0.200705825761723	0.30910159504833656	0.6974400213368838
CNAG_06265	114.15358114936713	-0.3578011838064175	0.1173253968397091	-3.0496481873847685	0.0022910957454430423	0.0077099361304361885	2.6399567611603567
CNAG_06266	70.81569119122233	-0.029274532884216563	0.11264286956856139	-0.25988802483763324	0.7949501487694108	0.860051632481813	0.09966010504564901
CNAG_06267	94.99104853268346	-0.1548687899574044	0.28923700115835804	-0.5354390667071441	0.5923462818826745	0.702178452620822	0.2274243332361453
CNAG_06271	100.07707367657933	0.28229244129160097	0.22504466977347168	1.2543840366259484	0.2097024519713041	0.3203313877899506	0.6783964914641673
CNAG_06272	444.55707961519727	-0.39190551288214465	0.1318609633361534	-2.972111707413051	0.002957590535793691	0.009497079354332048	2.529061952162821
CNAG_06273	1594.5294029808367	0.3778499015495756	0.13228276872856456	2.856380352341267	0.004285014720234723	0.01292767152884374	2.3680476818141245
CNAG_06274	2567.1364192894466	0.01663776159664639	0.07613444776002853	0.21853132302328732	0.827015155771353	0.8817671049239331	0.08248653155077115
CNAG_06276	132.77543792808086	-1.0281268950613127	0.27844287896170267	-3.692415833707575	2.2213386664061808e-4	0.0010716929200835527	3.6533852236492645
CNAG_06277	477.51906786445676	0.3920556706703328	0.10182795038747972	3.8501773744680823	1.1803231464090241e-4	6.227539596186146e-4	3.9279990761773997
CNAG_06278	595.6341954168552	-0.21783964952540932	0.07557027594649347	-2.8826102167424636	0.00394395134304778	0.012043741257054257	2.4040684516355437
CNAG_06279	118.78711129335655	0.16531899352241053	0.13091038707522554	1.2628409190128866	0.2066463559334601	0.3168077859324397	0.6847722487996158
CNAG_06280	221.29950895662773	0.05085507006039195	0.11537714573529034	0.44077247479382686	0.6593777223093313	0.7570441328948423	0.18086572998868908
CNAG_06281	21.482621707649173	-1.6609404612139267	0.42659322808230177	-3.89349936162954	9.880846258190254e-5	5.351004330696468e-4	4.0052058580922045
CNAG_06282	237.23736580697215	-0.4007817780306326	0.1168605740902887	-3.429572215869665	6.04533536098562e-4	0.002481228663938515	3.218579601935445
CNAG_06283	471.04335141691166	0.1291836778398261	0.09576972074221854	1.3488989718112183	0.1773694185384516	0.2801136462745941	0.751121257699883
CNAG_06284	131.30138592613045	0.6275257710614808	0.13092693665585317	4.792946257583021	1.6434966223119572e-6	1.4802411655550039e-5	5.784231184136531
CNAG_06285	168.80058681724	-0.9510815686326206	0.14847471217006322	-6.4056805009546	1.497001609798201e-10	3.013606812105664e-9	9.824777732638845
CNAG_06286	88.55837402890768	0.1513800426784979	0.172440354746189	0.877869005206529	0.38001481120986846	0.5067863136876085	0.42019947627434373
CNAG_06287	1282.886260270975	-0.1382896219717302	0.10310429101421223	-1.3412596179209255	0.17983617592862086	0.28309861198265696	0.745122940935075
CNAG_06288	619.6470977161895	0.24041886039696897	0.08197357910436288	2.932882314323313	0.003358311637000172	0.010540890910751352	2.473879005651887
CNAG_06289	386.3507998805417	-0.039614061310506585	0.1250083323839988	-0.31689136679962004	0.7513260329948109	0.8275123412285268	0.12417156285714279
CNAG_06290	65.27484889486972	0.4025783751850821	0.18487970759773026	2.1775152093004744	0.029442148269500784	0.06493208050045755	1.5310305045400028
CNAG_06291	163.66404972492012	-0.10641434763421753	0.1296592147812144	-0.8207233694402669	0.41180385630344823	0.5384576230497823	0.38530959078387755
CNAG_06292	64.0500004717404	-0.003185442709100564	0.14411230478378279	-0.022103891224831952	0.9823650824869655	0.9873279967224123	0.0077270826368806625
CNAG_06293	262.4436616889713	0.39222122677317894	0.1599965347967359	2.4514357593523375	0.014228758225913279	0.03542264285611977	1.8468330000679074
CNAG_06294	162.16311605568026	-1.9578747783601318	0.2576865813598489	-7.597891857729444	3.0099368822031704e-14	9.694863367248688e-13	13.52144261138233
CNAG_06295	119.21515250716934	0.19385489223327868	0.1016775467392306	1.906565396689326	0.05657688961435633	0.11140788394512553	1.2473609321079528
CNAG_06296	41.86782696112353	0.1624865163696101	0.23740066451657976	0.6844400233692784	0.49369735008886007	0.6143469897928872	0.3065392038415873
CNAG_06297	13660.367417095942	-0.15529961556266172	0.3026998152809278	-0.5130482667078347	0.6079175580881631	0.7154958000536514	0.21615531298884158
CNAG_06298	42960.45159623435	-0.12301827370803999	0.31170045027902593	-0.3946682579313482	0.6930877315174331	0.7840643934599711	0.15921178861710625
CNAG_06299	507.15514410026043	-0.1953559340539719	0.14946297942452652	-1.3070523202879123	0.19119494286111097	0.2979821644038144	0.7185235990712135
CNAG_06300	255.43158995698832	0.36680528233982873	0.11352004145411004	3.2311940485690194	0.001232742185765953	0.004524290908584322	2.909127741739013
CNAG_06301	936.0965216921115	-0.4469217845263495	0.13516026125021863	-3.3066063974156945	9.443348006294186e-4	0.0036169199272125634	3.0248740053971446
CNAG_06302	76.44915905639108	0.567754383642615	0.15586772009773234	3.64253986192023	2.6996115648410604e-4	0.0012584543504193615	3.568698720056542
CNAG_06307	157.7339302401301	-0.2930974272583193	0.10107678995907764	-2.899750055150979	0.003734603289052128	0.01150312233476712	2.4277555246453772
CNAG_06308	234.49200063486313	0.28367083322224845	0.17410474760135902	1.6293113032836917	0.10324713451595463	0.18177085316655833	0.9861219927580304
CNAG_06309	155.1738959436836	-0.6820498438542648	0.14218744546561463	-4.796835906438771	1.6119154317146128e-6	1.4595710816757219e-5	5.792657746962142
CNAG_06310	225.66085899766153	-1.0571789370986202	0.1311199580799085	-8.06268513641793	7.463658706544007e-16	2.820345669891825e-14	15.127048227950395
CNAG_06311	345.13067109561763	-0.9359209523065886	0.10324560114076692	-9.06499591232499	1.2460892459102787e-19	6.243368636546018e-18	18.90445085204414
CNAG_06312	1.5750640118480503	-2.627922529637513	1.2210456889588237	-2.1521901706055915	0.03138237949198563	0.06858494826616827	1.5033141301862847
CNAG_06313	2822.3271376358725	0.3136813896495786	0.10819422304801275	2.8992434236565288	0.003740643578662779	0.011516483006861646	2.42705367089677
CNAG_06314	1285.2431822733533	0.5898222875683431	0.14594262050395132	4.041467019926327	5.311785243117847e-5	3.089330643546786e-4	4.274759491925857
CNAG_06315	375.4203177081847	0.02450748834062338	0.09743271075760157	0.2515324489081952	0.8014024778148401	0.8642862015435465	0.09614931912861394
CNAG_06316	940.0343034674985	-0.021634726136771455	0.09943573348868623	-0.21757496402672033	0.827760292989119	0.8820940178858245	0.08209541020067958
